#Parameters = {D=5; L=135.5; R_=5; eps=4; gap=20; sig=0.1; zg=600}
#"Frequency / GHz"	"S3,2 [Magnitude in dB]"
#------------------------------------------
0.40000000596046	-66.006066606947
0.40200001001358	-65.835020849253
0.40400001406670	-65.664949686826
0.40599998831749	-65.495951379368
0.40799999237061	-65.328105523061
0.40999999642372	-65.161469983025
0.41200000047684	-64.996080134399
0.41400000452995	-64.831949780334
0.41600000858307	-64.669068555344
0.41800001263618	-64.507412122037
0.41999998688698	-64.346928319617
0.42199999094009	-64.187551010101
0.42399999499321	-64.029196398393
0.42599999904633	-63.871765194906
0.42800000309944	-63.715143451584
0.43000000715256	-63.559207466365
0.43200001120567	-63.403824656418
0.43399998545647	-63.248857570244
0.43599998950958	-63.094160183570
0.43799999356270	-62.939591192003
0.43999999761581	-62.785007404669
0.44200000166893	-62.630269873005
0.44400000572205	-62.475247176693
0.44600000977516	-62.319818409012
0.44800001382828	-62.163870231731
0.44999998807907	-62.007305964210
0.45199999213219	-61.850041192607
0.45399999618530	-61.692009912185
0.45600000023842	-61.533162812299
0.45800000429153	-61.373468418662
0.46000000834465	-61.212914611512
0.46200001239777	-61.051507751496
0.46399998664856	-60.889270356790
0.46599999070168	-60.726243797720
0.46799999475479	-60.562485914059
0.46999999880791	-60.398067330400
0.47200000286102	-60.233073740299
0.47400000691414	-60.067602125614
0.47600001096725	-59.901756647763
0.47799998521805	-59.735649962436
0.47999998927116	-59.569400417570
0.48199999332428	-59.403125646961
0.48399999737740	-59.236948338289
0.48600000143051	-59.070983525591
0.48800000548363	-58.905348930300
0.49000000953674	-58.740153271260
0.49200001358986	-58.575496364501
0.49399998784065	-58.411473638143
0.49599999189377	-58.248165696688
0.49799999594688	-58.085643697247
0.50000000000000	-57.923965448255
0.50199997425079	-57.763177304330
0.50400000810623	-57.603309074284
0.50599998235703	-57.444378700798
0.50800001621246	-57.286388557408
0.50999999046326	-57.129326952998
0.51200002431870	-56.973169404404
0.51399999856949	-56.817874517404
0.51599997282028	-56.663392465725
0.51800000667572	-56.509655503385
0.51999998092651	-56.356589728891
0.52200001478195	-56.204108930133
0.52399998903275	-56.052116543285
0.52600002288818	-55.900510887215
0.52799999713898	-55.749182041457
0.52999997138977	-55.598016757104
0.53200000524521	-55.446898626230
0.53399997949600	-55.295707991998
0.53600001335144	-55.144328391424
0.53799998760223	-54.992643111473
0.54000002145767	-54.840540823900
0.54199999570847	-54.687914421025
0.54400002956390	-54.534664735151
0.54600000381470	-54.380700117698
0.54799997806549	-54.225938790094
0.55000001192093	-54.070310019097
0.55199998617172	-53.913753394965
0.55400002002716	-53.756222912436
0.55599999427795	-53.597685426775
0.55800002813339	-53.438119908054
0.56000000238419	-53.277517859621
0.56199997663498	-53.115886848061
0.56400001049042	-52.953242150704
0.56599998474121	-52.789616974970
0.56800001859665	-52.625053115574
0.56999999284744	-52.459600449859
0.57200002670288	-52.293321754672
0.57400000095367	-52.126285181801
0.57599997520447	-51.958565645845
0.57800000905991	-51.790245756105
0.57999998331070	-51.621408953033
0.58200001716614	-51.452140928372
0.58399999141693	-51.282530596693
0.58600002527237	-51.112663996965
0.58799999952316	-50.942626206138
0.58999997377396	-50.772498877084
0.59200000762939	-50.602361289450
0.59399998188019	-50.432283050855
0.59600001573563	-50.262332370521
0.59799998998642	-50.092567937041
0.60000002384186	-49.923040279543
0.60199999809265	-49.753792742618
