           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
             -195              100              155        -0.574937         0.314874         -2.58395         0.166806        -0.518564        -0.113377
             -195              100              160        -0.524108         0.428396         -2.53326         0.659874        -0.536738       -0.0299983
             -195              100              165        -0.452393         0.533507         -2.39307          1.14623        -0.540652         0.054857
             -195              100              170        -0.361254         0.626454         -2.16542          1.61043        -0.530474         0.138898
             -195              100              175         -0.25283         0.703741         -1.85504           2.0373        -0.506758         0.219937
             -195              100              180        -0.129888         0.762245         -1.46922          2.41233        -0.470403         0.295945
             -195              100              185        0.0042387         0.799329          -1.0177          2.72215        -0.422615         0.365099
             -195              100              190         0.145741         0.812948        -0.512462          2.95493        -0.364855         0.425823
             -195              100              195         0.290443         0.801732         0.032588          3.10078        -0.298787         0.476819
             -195              100              200         0.433918         0.765047         0.601952          3.15211        -0.226223          0.51708
             -195              100              205         0.571622         0.703046          1.17894          3.10393        -0.149061         0.545903
             -195              100              210         0.699042         0.616686          1.74614          2.95403       -0.0692373         0.562891
             -195              100              215         0.811837         0.507728          2.28587          2.70323        0.0113254         0.567947
             -195              100              220         0.905985         0.378705          2.78074          2.35538        0.0907704         0.561259
             -195              100              225         0.977925         0.232863          3.21411          1.91737         0.167347         0.543279
             -195              100              230          1.02468        0.0740831          3.57066          1.39907         0.239447         0.514699
             -195              100              235          1.04399       -0.0932268          3.83683         0.813079         0.305637          0.47642
             -195              100              240          1.03437        -0.264261          4.00131         0.174491         0.364684          0.42952
             -195              100              245         0.995211        -0.433957          4.05544        -0.499493         0.415571         0.375218
             -195              100              250         0.926824        -0.597155          3.99355            -1.19          0.45751         0.314841
             -195              100              255         0.830439        -0.748762          3.81322           -1.877         0.489947         0.249784
             -195              100              260         0.708191        -0.883915          3.51547         -2.53984         0.512556         0.181477
             -195              100              265         0.563084        -0.998146          3.10483         -3.15787         0.525235         0.111352
             -195              100              270         0.398899         -1.08754          2.58933         -3.71107         0.528095        0.0408107
             -195              100              275         0.220102         -1.14887          1.98038         -4.18063          0.52144       -0.0288088
             -195              100              280         0.031701         -1.17972          1.29252         -4.54964         0.505746       -0.0962477
             -195              100              285        -0.160893         -1.17857         0.543114         -4.80356          0.48164         -0.16035
             -195              100              290        -0.352041         -1.14487        -0.248081         -4.93083         0.449872        -0.220081
             -195              100              295        -0.535956         -1.07867         -1.05968         -4.92156         0.411217        -0.274461
             -195              100              300         -0.70703        -0.981861          -1.8679         -4.77291         0.366692        -0.322784
             -195              100              305        -0.860021        -0.856928          -2.6491         -4.48465          0.31727        -0.364434
             -195              100              310        -0.990187        -0.707251         -3.37971         -4.06074         0.263948        -0.398936
             -195              100              315         -1.09324         -0.53696         -4.03622          -3.5087          0.20771        -0.425909
             -195              100              320         -1.16607        -0.351067         -4.59784         -2.84166         0.149566        -0.445195
             -195              100              325         -1.20634        -0.154983         -5.04552         -2.07576        0.0904654        -0.456714
             -195              100              330         -1.21267        0.0455195         -5.36302         -1.23061        0.0313184          -0.4605
             -195              100              335         -1.18477         0.244498         -5.53753        -0.328802        -0.027011        -0.456684
             -195              100              340         -1.12338         0.436026         -5.56011          0.60473       -0.0837127        -0.445486
             -195              100              345          -1.0303         0.614378         -5.42615          1.54333        -0.138032        -0.427209
             -195              100              350        -0.908328         0.774229         -5.13555          2.45947        -0.189262        -0.402226
             -195              100              355        -0.761156         0.910818          -4.6929          3.32552        -0.236752        -0.370973
