#Parameters = {D=5; L=135.5; R_=5; eps=4; gap=20; sig=0.1; zg=600}
#"Frequency / GHz"	"S3,2 [Magnitude in dB]"
#------------------------------------------
0.11800000071526	-97.104368890103
0.11999999731779	-96.435630963345
0.12200000137091	-95.800060888073
0.12399999797344	-95.200312689358
0.12600000202656	-94.637338540271
0.12800000607967	-94.111015165549
0.12999999523163	-93.620563168686
0.13199999928474	-93.164811785085
0.13400000333786	-92.742367176660
0.13600000739098	-92.351714401914
0.13799999654293	-91.991277044083
0.14000000059605	-91.659441510733
0.14200000464916	-91.354575335632
0.14399999380112	-91.075018204937
0.14599999785423	-90.819077533888
0.14800000190735	-90.585011237752
0.15000000596046	-90.371007364512
0.15199999511242	-90.175166106204
0.15399999916553	-89.995478293126
0.15600000321865	-89.829808853651
0.15800000727177	-89.675880850664
0.15999999642372	-89.531266490287
0.16200000047684	-89.393389856656
0.16400000452995	-89.259544763735
0.16599999368191	-89.126914644228
0.16799999773502	-88.992624411512
0.17000000178814	-88.853804680441
0.17200000584126	-88.707673327125
0.17399999499321	-88.551628720097
0.17599999904633	-88.383361395851
0.17800000309944	-88.200950139147
0.18000000715256	-88.002957240015
0.18199999630451	-87.788494152153
0.18400000035763	-87.557259946994
0.18600000441074	-87.309539522872
0.18799999356270	-87.046166852293
0.18999999761581	-86.768455523663
0.19200000166893	-86.478104901611
0.19400000572205	-86.177093381450
0.19599999487400	-85.867571314420
0.19799999892712	-85.551756908468
0.20000000298023	-85.231850270815
0.20200000703335	-84.909960360502
0.20399999618530	-84.588052886643
0.20600000023842	-84.267919280797
0.20800000429153	-83.951146734990
0.20999999344349	-83.639119384734
0.21199999749660	-83.333013233416
0.21400000154972	-83.033806649971
0.21600000560284	-82.742289819223
0.21799999475479	-82.459078137344
0.21999999880791	-82.184627340353
0.22200000286102	-81.919247642539
0.22400000691414	-81.663117297404
0.22599999606609	-81.416295833152
0.22800000011921	-81.178732825928
0.23000000417233	-80.950280199091
0.23199999332428	-80.730699701695
0.23399999737740	-80.519671789524
0.23600000143051	-80.316798951076
0.23800000548363	-80.121616408300
0.23999999463558	-79.933595004544
0.24199999868870	-79.752146923441
0.24400000274181	-79.576633064826
0.24600000679493	-79.406368082817
0.24799999594688	-79.240626330318
0.25000000000000	-79.078652117534
0.25200000405312	-78.919666172633
0.25400000810623	-78.762877037725
0.25600001215935	-78.607490947715
0.25799998641014	-78.452723945356
0.25999999046326	-78.297814733291
0.26199999451637	-78.142038076786
0.26399999856949	-77.984719136289
0.26600000262260	-77.825242956748
0.26800000667572	-77.663071615747
0.27000001072884	-77.497751432836
0.27200001478195	-77.328922649836
0.27399998903275	-77.156325618370
0.27599999308586	-76.979804398617
0.27799999713898	-76.799307085439
0.28000000119209	-76.614883518587
0.28200000524521	-76.426680015131
0.28400000929832	-76.234928859613
0.28600001335144	-76.039940709804
0.28799998760223	-75.842091224830
0.28999999165535	-75.641809842619
0.29199999570847	-75.439563672170
0.29399999976158	-75.235845142057
0.29600000381470	-75.031159762875
0.29800000786781	-74.826012791230
0.30000001192093	-74.620900017532
0.30199998617172	-74.416296575991
0.30399999022484	-74.212648752930
0.30599999427795	-74.010368718233
0.30799999833107	-73.809828634288
0.31000000238419	-73.611356787825
0.31200000643730	-73.415232479547
0.31400001049042	-73.221690134371
0.31600001454353	-73.030911366118
0.31799998879433	-72.843029802955
0.31999999284744	-72.658131278336
0.32199999690056	-72.476251556601
0.32400000095367	-72.297384521718
0.32600000500679	-72.121477078774
0.32800000905991	-71.948436379631
0.33000001311302	-71.778132990468
0.33199998736382	-71.610401851996
0.33399999141693	-71.445048346629
