           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
             -195              100              275         -0.87802        -0.269064         -4.80832         -2.03262         0.162692        -0.371375
             -195              100              280         -0.91988        0.0126023         -5.23737        -0.436151        0.0557439        -0.406456
             -195              100              285        -0.873448         0.293882         -5.16097          1.23261       -0.0587002        -0.409945
             -195              100              290        -0.747835          0.55071          -4.6079          2.82622        -0.172302        -0.382732
             -195              100              295        -0.545669         0.751922          -3.5626          4.15877        -0.274712        -0.322062
             -195              100              300        -0.295541         0.886779         -2.17819          5.13928        -0.359425        -0.236258
             -195              100              305       -0.0159268         0.934629        -0.543047          5.62449        -0.417066        -0.128538
             -195              100              310         0.263734         0.895818          1.16953           5.5848        -0.443685      -0.00857124
             -195              100              315         0.519112         0.774702          2.80982          5.01893        -0.436834         0.115015
             -195              100              320         0.721514         0.578204          4.19544          3.93741        -0.393573          0.23154
             -195              100              325         0.859538         0.332083          5.22941          2.48477        -0.320351         0.333093
             -195              100              330         0.910164        0.0545904          5.74576         0.749422        -0.218227         0.408193
             -195              100              335          0.87848         -0.22426          5.74168         -1.07483       -0.0978877         0.452926
             -195              100              340         0.763976        -0.479623          5.18327         -2.82871        0.0328585         0.461705
             -195              100              345         0.577752        -0.685147          4.10779         -4.32681         0.163008         0.432178
             -195              100              350         0.342066        -0.828266          2.64261         -5.46019         0.283279         0.368962
             -195              100              355        0.0749829        -0.884245         0.876594         -6.03829         0.380677         0.271573
             -195              100              360        -0.194151        -0.861648        -0.987126         -6.08001         0.450417         0.152079
             -195              100              365        -0.440527        -0.755586         -2.78535         -5.51817         0.483461        0.0174071
             -195              100              370        -0.640528        -0.580834         -4.33664         -4.42163         0.477492        -0.120414
             -195              100              375        -0.779201        -0.355596         -5.51075         -2.89594         0.433519        -0.250947
             -195              100              380        -0.836717       -0.0997068          -6.1371          -1.0555         0.350997        -0.360993
             -195              100              385        -0.819059         0.159933         -6.21941         0.899972         0.240428        -0.444105
             -195              100              390        -0.719528         0.398014         -5.66828          2.79026         0.107197        -0.488728
             -195              100              395        -0.556288         0.593555         -4.58377          4.43379       -0.0356407        -0.493591
             -195              100              400        -0.343583         0.728914         -3.04375          5.67349        -0.177244        -0.456629
             -195              100              405         -0.10252         0.788826         -1.18449          6.35506         -0.30436        -0.378626
             -195              100              410         0.143002         0.776916         0.806493          6.46834        -0.408567        -0.268961
             -195              100              415         0.367205         0.684647          2.73691          5.89994        -0.475704         -0.13239
             -195              100              420         0.552384         0.533064          4.43086          4.78768        -0.504573        0.0162608
             -195              100              425         0.679141         0.332767          5.70879           3.1842        -0.489142         0.165781
             -195              100              430         0.736586         0.106218          6.43829          1.25638          -0.4308         0.302211
             -195              100              435         0.724984        -0.125172          6.58012        -0.814073        -0.335983         0.415368
             -195              100              440         0.638875        -0.336606          6.03642         -2.81945        -0.208963         0.490638
             -195              100              445         0.497613        -0.511765          4.94111         -4.58289       -0.0642704         0.526248
             -195              100              450         0.309803        -0.630036           3.3289         -5.89738        0.0873997         0.513554
             -195              100              455        0.0985165        -0.684641          1.39052         -6.65395         0.231681         0.456172
             -195              100              460         -0.11678        -0.672287        -0.703552         -6.77953         0.356659          0.35824
             -195              100              465        -0.313223        -0.591645         -2.73955         -6.20982         0.448364         0.226073
             -195              100              470        -0.475986        -0.458907         -4.54301         -5.06479         0.502646        0.0737233
             -195              100              475        -0.583829        -0.282035         -5.88465         -3.37289         0.508125       -0.0873199
             -195              100              480        -0.633839       -0.0843649         -6.68102         -1.35666         0.469418        -0.241682
             -195              100              485        -0.619842         0.116343         -6.82298         0.818192         0.386976        -0.375769
             -195              100              490        -0.544604          0.29868         -6.28181          2.92442         0.268059         -0.47604
             -195              100              495        -0.420804         0.448521         -5.15129          4.78299         0.124873        -0.536721
             -195              100              500        -0.256512         0.545298         -3.46148            6.146       -0.0315566        -0.545017
             -190              100                0         -2.56683        -0.171389         -27.1172         -2.06138        -0.372226        -0.522154
             -190              100                5         -2.49838        -0.358316         -26.3427         -2.13366         -1.07946        -0.529858
             -190              100               10         -2.50053        -0.539418         -25.4237         -2.15862         -1.74693        -0.527019
             -190              100               15         -2.57558        -0.701333          -24.322         -2.11645         -2.30415        -0.502788
             -190              100               20         -2.69472        -0.851641         -23.1098         -2.03366         -2.79467        -0.465615
             -190              100               25         -2.82364          -0.9671         -21.7862         -1.89221         -3.13426        -0.404654
             -190              100               30         -2.95748           -1.065         -20.4064         -1.72119         -3.39778        -0.331706
             -190              100               35         -3.04693         -1.11724         -18.9886         -1.50213         -3.52396        -0.241021
             -190              100               40         -3.11796         -1.15053          -17.555         -1.26315         -3.59316        -0.142979
             -190              100               45         -3.11528         -1.13348         -16.1332        -0.983235         -3.56361       -0.0361141
             -190              100               50         -3.08786         -1.09952         -14.7153        -0.689587          -3.5009        0.0737124
             -190              100               55         -2.97845         -1.01599         -13.3354        -0.359269         -3.38218         0.184042
             -190              100               60         -2.84731        -0.919327         -11.9655       -0.0192373         -3.24864         0.294505
             -190              100               65         -2.63943        -0.778131         -10.6413          0.35441         -3.09648         0.399289
             -190              100               70          -2.4161        -0.627974         -9.32642         0.734822         -2.94058         0.502931
             -190              100               75         -2.12875        -0.441562         -8.05264          1.14596         -2.79564         0.597278
             -190              100               80          -1.8322        -0.249941         -6.78477          1.56152         -2.65226         0.690289
             -190              100               85         -1.48814       -0.0329888         -5.54501          2.00459         -2.54166         0.772895
             -190              100               90         -1.13973         0.186279         -4.30781          2.45017         -2.43405          0.85455
             -190              100               95        -0.762239         0.417668         -3.07935          2.91865         -1.59712         0.591892
             -190              100              100        -0.383479         0.649586         -1.85126          3.38814        -0.728314         0.314184
             -190              100              105        -0.160671         0.739611        -0.729141          3.80403         -0.19011         0.160785
             -190              100              110        0.0797023         0.757448          0.46565          3.86731        -0.133719         0.207209
             -190              100              115         0.316105          0.69772          1.63141          3.55466       -0.0665295         0.235254
             -190              100              120          0.52112          0.56167          2.64071          2.87296          0.00548         0.241583
             -190              100              125         0.677184         0.368884          3.41293          1.91592        0.0760724         0.228053
             -190              100              130         0.763687         0.133652          3.85117         0.750454         0.139243         0.194445
             -190              100              135         0.771543        -0.117745          3.91169        -0.500334         0.189559         0.144379
             -190              100              140         0.703747        -0.361207          3.60703         -1.72184         0.224154        0.0826273
             -190              100              145         0.557421        -0.568406          2.91923         -2.77974         0.238117        0.0133859
             -190              100              150         0.354289        -0.720362          1.94702         -3.58029         0.232238       -0.0567933
             -190              100              155         0.112414        -0.802507         0.772404         -4.04983         0.206959        -0.122805
             -190              100              160          -0.1448        -0.797212        -0.499107         -4.09724         0.162613        -0.178142
             -190              100              165        -0.390132        -0.713621         -1.73674         -3.75814         0.104711        -0.219522
             -190              100              170        -0.598759        -0.554138         -2.82203         -3.03489        0.0367372        -0.242743
             -190              100              175          -0.7461        -0.333869         -3.63302         -1.99031        -0.035664        -0.245159
             -190              100              180        -0.822251       -0.0775058         -4.11295        -0.738798        -0.106857        -0.227881
             -190              100              185        -0.810871         0.191929           -4.173         0.615917        -0.170774        -0.189898
             -190              100              190        -0.716712         0.445161         -3.82234          1.93024        -0.222343        -0.135072
             -190              100              195        -0.550487         0.660158         -3.10089          3.09178        -0.258216       -0.0675086
             -190              100              200        -0.322127         0.809172         -2.04087          3.95904        -0.273426       0.00884518
             -190              100              205       -0.0568619         0.878441         -0.75596          4.45019        -0.266923        0.0875538
             -190              100              210         0.218775         0.855822         0.632897          4.48844        -0.237584         0.161919
             -190              100              215         0.477435         0.752466          1.98614          4.11156        -0.189382         0.226946
             -190              100              220         0.692004         0.569189           3.1703          3.30465        -0.123378         0.276426
             -190              100              225         0.840492         0.326546          4.06342          2.15418       -0.0448575         0.306106
             -190              100              230         0.911454         0.047864          4.59243         0.768538        0.0406474         0.314031
             -190              100              235          0.88731        -0.240307          4.64949        -0.731527         0.126785         0.296092
             -190              100              240         0.781359        -0.510392          4.28001         -2.19724         0.207302         0.255971
             -190              100              245         0.592837         -0.73237          3.45584         -3.47467          0.27479         0.193044
             -190              100              250         0.346422        -0.887185          2.28574          -4.4461         0.324399         0.113198
             -190              100              255         0.063017        -0.959365         0.862563         -5.01339         0.351631        0.0212441
             -190              100              260        -0.229252        -0.936217         -0.67993           -5.085         0.352015       -0.0761489
             -190              100              265        -0.504054         -0.82885         -2.19698         -4.69562         0.327307        -0.171847
             -190              100              270        -0.729103        -0.634833         -3.52118         -3.80193         0.274388        -0.257265
             -190              100              275        -0.888975        -0.383312         -4.54548         -2.54416         0.199846         -0.32679
             -190              100              280        -0.963944       -0.0929495         -5.14661         -1.00438         0.106714        -0.373451
             -190              100              285         -0.94648         0.206374         -5.25445         0.663308       0.00204075        -0.392501
             -190              100              290        -0.843664         0.488537         -4.88108          2.30903        -0.106643        -0.383391
             -190              100              295        -0.654963         0.720766         -3.99029          3.74936        -0.210469        -0.341839
             -190              100              300         -0.40916         0.888874          -2.7238           4.8766        -0.302203        -0.274312
             -190              100              305        -0.123382          0.96947          -1.1536          5.53814        -0.372692        -0.182109
             -190              100              310         0.171686         0.959838          0.55126          5.68513        -0.416599       -0.0734029
             -190              100              315         0.450258         0.862017            2.242          5.29952        -0.430091          0.04427
             -190              100              320         0.681813         0.680281          3.73587          4.37178        -0.408428         0.161467
             -190              100              325         0.851786         0.440192          4.92035          3.03543        -0.356107         0.269639
             -190              100              330         0.934418         0.158315          5.62023          1.36066        -0.271963         0.357692
             -190              100              335         0.931928        -0.133655          5.81153        -0.459146        -0.165243         0.419959
             -190              100              340         0.841169        -0.410018          5.44318         -2.26826       -0.0422838         0.449626
             -190              100              345         0.670938         -0.64234          4.53227         -3.87699        0.0869118         0.442367
             -190              100              350         0.443015        -0.815361           3.1942         -5.16261         0.212644         0.400878
             -190              100              355         0.173521        -0.901612          1.49763         -5.92472         0.322459         0.322305
             -190              100              360        -0.106302        -0.906942        -0.352575         -6.16047         0.409524         0.217427
             -190              100              365        -0.371368        -0.823826         -2.20036         -5.78546          0.46377        0.0913838
             -190              100              370        -0.595715        -0.665074         -3.85699         -4.84958         0.480706       -0.0444588
             -190              100              375        -0.762049        -0.447962         -5.18106          -3.4451         0.459381         -0.17964
             -190              100              380        -0.847971        -0.190914         -5.99018         -1.66919         0.396855        -0.301163
             -190              100              385        -0.856857        0.0776829          -6.2674         0.277267         0.302257        -0.400754
             -190              100              390         -0.77925         0.332441         -5.90508          2.22223         0.178909        -0.465911
             -190              100              395        -0.631751         0.549972         -4.98511          3.97314        0.0395014        -0.493042
             -190              100              400        -0.427269          0.71064         -3.57009          5.36421        -0.105508        -0.478212
             -190              100              405        -0.185994         0.796635          -1.7816          6.22675        -0.242741        -0.419972
             -190              100              410        0.0671518          0.80933         0.193412          6.53198        -0.362217        -0.326322
             -190              100              415         0.306464         0.737408          2.17276          6.14742        -0.448971        -0.199817
             -190              100              420         0.511616         0.600726          3.96681          5.19449        -0.499394       -0.0552242
             -190              100              425         0.661668         0.408229          5.39042          3.70904        -0.505665        0.0970215
             -190              100              430         0.743178         0.181971          6.29518           1.8465        -0.467046         0.242526
